venta_id,fecha,año,mes,trimestre,modelo,marca,tipo,segmento,precio_lista,precio_venta,descuento_pct,descuento_monto,precio_final,accesorios_monto,precio_total,costo_vehiculo,margen_bruto,margen_pct,ganancia_neta,vendedor,zona,senioridad,comision_vendedor,financiacion,origen_lead,permuta,valor_permuta,num_accesorios,dias_cierre,test_drive,rating_cliente,year_month,semana,dia_semana,es_fin_semana,precio_log,margen_log,tiene_descuento,tiene_accesorios,cierre_rapido,es_premium_luxury,revenue_total_log,segmento_num,ganancia_por_dia,pct_accesorios
VTA-00139,2022-01-01,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,22050000,0,0,22050000,376197,22426197,16500000,5550000,25.2,5700478,Joaquín Torres,Sur,Semi-Senior,601965,Contado,Instagram,False,0,2,37,True,5,2022-01,52,Saturday,True,16.908823205208602,15.52930866590278,False,1,0,1,16.92574038700171,3,154067.0,1.68
VTA-01519,2022-01-01,2022,1,Q1,Toyota Hilux,Toyota,Pickup,Premium,28000000,28750000,2,575000,28175000,342662,28517662,19800000,8375000,29.7,8512064,Diego Romero,Centro,Junior,619850,Cuotas 12x,Referido,False,0,2,6,True,5,2022-01,52,Saturday,True,17.15394565338257,15.940761755078382,True,1,1,1,17.166034207656406,3,1418677.0,1.2
VTA-02982,2022-01-01,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11200000,4,448000,10752000,195378,10947378,8200000,2552000,23.7,2630151,Lucía Fernández,Norte,Semi-Senior,282240,Cuotas 36x,Web,True,2250000,1,48,True,5,2022-01,52,Saturday,True,16.190602434751018,14.75238831529627,True,1,0,0,16.208610624844837,2,54795.0,1.78
VTA-01655,2022-01-02,2022,1,Q1,Toyota SW4,Toyota,SUV,Luxury,42000000,42400000,3,1272000,41128000,0,41128000,29500000,11628000,28.3,11628000,Carlos Méndez,Norte,Senior,1324322,Cuotas 24x,Web,True,10050000,0,8,True,4,2022-01,52,Sunday,True,17.532199737031814,16.26892662666021,True,0,0,1,17.532199737031814,4,1453500.0,0.0
VTA-02311,2022-01-03,2022,1,Q1,Chevrolet Tracker,Chevrolet,SUV,Intermedio,12500000,12650000,3,379500,12270500,294273,12564773,9000000,3270500,26.7,3388209,Valentina Cruz,Este,Senior,437443,Cuotas 24x,Referido,False,0,1,3,True,5,2022-01,1,Monday,False,16.322708647149362,15.000453742147002,True,1,1,0,16.346407742327717,2,1129403.0,2.34
VTA-02027,2022-01-03,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11500000,3,345000,11155000,0,11155000,8200000,2955000,26.5,2955000,Joaquín Torres,Sur,Semi-Senior,304532,Contado,Instagram,False,0,0,15,True,4,2022-01,1,Monday,False,16.227398475494663,14.899009547231755,True,0,0,0,16.227398475494663,2,197000.0,0.0
VTA-02880,2022-01-04,2022,1,Q1,Chevrolet Onix,Chevrolet,Hatchback,Económico,5800000,5850000,0,0,5850000,593711,6443711,4200000,1650000,28.2,1887484,Carlos Méndez,Norte,Senior,188370,Plan de ahorro,Referido,False,0,3,1,True,2,2022-01,1,Tuesday,False,15.581952390148196,14.316286451937186,False,1,1,0,15.678615329542822,1,1887484.0,9.21
VTA-00071,2022-01-05,2022,1,Q1,Volkswagen Polo,Volkswagen,Hatchback,Intermedio,7800000,8100000,0,0,8100000,0,8100000,5600000,2500000,30.9,2500000,Carlos Méndez,Norte,Senior,260820,Contado,WhatsApp,False,0,0,9,True,5,2022-01,1,Wednesday,False,15.90737474309945,14.731801689838349,False,0,0,0,15.90737474309945,2,277778.0,0.0
VTA-01916,2022-01-05,2022,1,Q1,Ford EcoSport,Ford,SUV,Intermedio,10500000,10300000,0,0,10300000,165672,10465672,7600000,2700000,26.2,2766268,Paula Gómez,Centro,Senior,343505,Contado,Web,True,2100000,1,6,True,4,2022-01,1,Wednesday,False,16.14765455028724,14.80876270134486,False,1,1,0,16.163611221397904,2,461045.0,1.58
VTA-02750,2022-01-05,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,8000000,5,400000,7600000,0,7600000,5900000,1700000,22.4,1700000,Martín López,Oeste,Junior,152000,Plan de ahorro,WhatsApp,True,1250000,0,14,True,3,2022-01,1,Wednesday,False,15.843658936835498,14.346139397261565,True,0,0,0,15.843658936835498,2,121429.0,0.0
